과,국명,학명,천연기념물,멸종위기야생생물,해양보호생물,
,큰밭종다리,Anthus richardi,
,쇠밭종다리,Anthus godlewskii,
,풀밭종다리,Anthus pratensis,
,나무밭종다리,Anthus trivialis,
,힝둥새,Anthus hodgsoni,
,흰등밭종다리,Anthus gustavi,
,한국밭종다리,Anthus roseatus,
,붉은가슴밭종다리,Anthus cervinus,
,밭종다리,Anthus rubescens,
,옅은밭종다리,Anthus spinoletta,
되새과,푸른머리되새,Fringilla coelebs,
,되새,Fringilla montifringilla,
,콩새,Coccothraustes coccothraustes,
,밀화부리,Eophona migratoria,
,큰부리밀화부리,Eophona personata,
,솔양진이,Pinicola enucleator,
,멋쟁이새,Pyrrhula pyrrhula,
,바위양진이,Bucanetes mongolicus,
,갈색양진이,Leucosticte arctoa,
,붉은양진이,Carpodacus erythrinus,
,긴꼬리홍양진이,Carpodacus sibiricus,
,양진이,Carpodacus roseus,
,방울새,Chloris sinica,
,홍방울새,Acanthis flammea,
,쇠홍방울새,Acanthis hornemanni,
,솔잣새,Loxia curvirostra,
,흰죽지솔잣새,Loxia leucoptera,
,검은머리방울새,Spinus spinus,
긴발톱멧새과,긴발톱멧새,Calcarius lapponicus,
,흰멧새,Plectrophenax nivalis,
멧새과,노랑멧새,Emberiza citrinella,
,흰머리멧새,Emberiza leucocephalos,
,바위멧새,Emberiza godlewskii,
,멧새,Emberiza cioides,
,점박이멧새,Emberiza jankowskii,
,회색머리멧새,Emberiza hortulana,
,흰배멧새,Emberiza tristrami,
,붉은뺨멧새,Emberiza fucata,
,쇠붉은뺨멧새,Emberiza pusilla,
,노랑눈썹멧새,Emberiza chrysophrys,
,쑥새,Emberiza rustica,
,노랑턱멧새,Emberiza elegans,
,검은머리촉새,Emberiza aureola,,II,
,꼬까참새,Emberiza rutila,
,검은머리멧새,Emberiza melanocephala,
,붉은머리멧새,Emberiza bruniceps,
,무당새,Emberiza sulphurata,,II,
,촉새,Emberiza spodocephala,
,촉새,Emberiza spodocephala spodocephala,
,섬촉새,Emberiza spodocephala personata,
,검은멧새,Emberiza variabilis,
,북방검은머리쑥새,Emberiza pallasi,
,쇠검은머리쑥새,Emberiza yessoensis,,II,
,검은머리쑥새,Emberiza schoeniclus,
신대륙멧새과,흰정수리멧새,Zonotrichia leucophrys,
,노랑정수리멧새,Zonotrichia atracapilla,
,초원멧새,Passerculus sandwichensis,
